Latitude,Longitude,@id,operator,telecom,level,operator:wikidata,ref,description,addr:housenumber,addr:city,addr:postcode,addr:street,name,website,contact:city,contact:housenumber,contact:postcode,contact:street,@relations,building,source,description:en,opening_hours,phone,office,data_center:power,alt_name,old_name,operator:wikipedia,wikidata,check_date,name:en
48.926898,2.348939,,,,,,,,,,,,Equinix PA9X,,,,,,,,,,,,,,,,,,,
48.927554,2.349025,,,,,,,,,,,,Equinix PA10,,,,,,,,,,,,,,,,,,,
48.78904,2.216384,,,,,,,,,,,,Equinix PA13X,,,,,,,,,,,,,,,,,,,
48.984885,2.509284,node/6121625449,Equinix,data_center,,Q851641,,data center,167,Roissy-en-France,95700,Rue de la Belle Étoile,Equinix Paris Roissy - PA1,,,,,,,,,,,,,,,,,,,
46.515429,-1.747832,,,,,,,,,,,,Etix Vendée #2,,,,,,,,,,,,,,,,,,,
43.604518,7.075592,,,,,,,,,,,,Euclyde DC1,,,,,,,,,,,,,,,,,,,
47.226184,5.973837,,,,,,,,,,,,Euclyde DC2,,,,,,,,,,,,,,,,,,,
43.624349,7.038621,,,,,,,,,,,,Euclyde DC3,,,,,,,,,,,,,,,,,,,
45.772448,4.871531,,,,,,,,,,,,Euclyde DC5,,,,,,,,,,,,,,,,,,,
48.839148,2.630539,,,,,,,,,,,,Euclyde DC6,,,,,,,,,,,,,,,,,,,
47.3329339,5.105566,node/13006633477,Euro Information,data_center,,,,,,,,,Euro-Information EIP (Data Center),,,,,,,,,,,,,,,,,,,
48.832055,2.729373,,,,,,,,,,,,Euroclear,,,,,,,,,,,,,,,,,,,
45.782587,4.866057,,,,,,,,,,,,Extension centre de calcul IN2P3,,,,,,,,,,,,,,,,,,,
43.4311399,5.2712857,node/9045239635,FDJ,data_center,,,,,,,,,FDJ,,,,,,,,,,,,,,,,,,,
-22.269447,166.461038,,,,,,,,,,,,Felix Datacenter,,,,,,,,,,,,,,,,,,,
47.8930435,1.852149,node/8744063082,France Travail DSI,data_center,,,,,,,,,France Travail datacenter Orléans,,,,,,,,,,,,,,,,,,,
45.806663,4.77215,,,,,,,,,,,,Free Pro - Datacenter Limonest (LYO02 - DCForData),,,,,,,,,,,,,,,,,,,
43.361335,5.338047,Free Pro - Datacenter Marseille (MAR02),,,,,,,,,,,Free Pro - Datacenter Marseille (MAR02),,,,,,,,,,,,,,,,,,,
45.738597,4.89001,,,,,,,,,,,,Free Pro - Datacenter Rock (LYO03),,,,,,,,,,,,,,,,,,,
43.620077,1.421227,,,,,,,,,,,,Fullsave Toulouse,,,,,,,,,,,,,,,,,,,
48.899963,2.295628,,,,,,,,,,,,Global Switch,,,,,,,,,,,,,,,,,,,
45.168476,5.715111,,,,,,,,,,,,Green DataCenter Eolas,,,,,,,,,,,,,,,,,,,
48.470759,1.327028,,,,,,,,,,,,greenfield,,,,,,,,,,,,,,,,,,,
48.451179,1.43878,,,,,,,,,,,,Greenfield,,,,,,,,,,,,,,,,,,,
47.436042,0.69555,,,,,,,,,,,,Groupe ADISTA,,,,,,,,,,,,,,,,,,,
43.342767,5.367723,,,,,,,,,,,,Interoute,,,,,,,,,,,,,,,,,,,
44.781005,-0.537461,,,,,,,,,,,,Interoute Bordeaux,,,,,,,,,,,,,,,,,,,
48.593245,7.795065,,,,,,,,,,,,Interoute Strasbourg,,,,,,,,,,,,,,,,,,,
48.90727,2.369657,,,,,,,,,,,,Interxion PAR2 - Bâtiment 501,,,,,,,,,,,,,,,,,,,
48.914688,2.362715,,,,,,,,,,,,Interxion PAR3,,,,,,,,,,,,,,,,,,,
48.893933,2.175068,,,,,,,,,,,,Interxion PAR4,,,,,,,,,,,,,,,,,,,
48.914293,2.362232,,,,,,,,,,,,Interxion PAR5,,,,,,,,,,,,,,,,,,,
48.8152095,2.4030379,node/6102606448,Digital Realty,data_center,,Q5275969,,data center,11;15,Ivry-sur-Seine,94200,Rue Galilée,Interxion PAR6,,,,,,,,,,,,,,,,,,,
48.925432,2.402143,,,,,,,,,,,,Interxion PAR7,,,,,,,,,,,,,,,,,,,
48.7742033,2.2379816,node/6289682223,,data_center,,,,data center,,Le Plessis-Robinson,92350,Rue de la Boursidière,KHEOPS Organisation Plessis-Robinson,,,,,,,,,,,,company,,,,,,,
48.7785399,2.2148032,node/6289605233,,data_center,,,,data center,45,Vélizy-Villacoublay,78140,Avenue de l'Europe,KHEOPS Organisation Vélizy-Villacoublay,,,,,,,,,,,,,,,,,,,
50.566993,3.028708,,,,,,,,,,,,La Pointe 1,,,,,,,,,,,,,,,,,,,
45.7574082,4.8996581,node/6212420800,,data_center,,,,data center,,,,,LASOTEL PIXEL69,,,,,,,,,,,,,,,,,,,
48.904392,2.259772,,,,,,,,,,,,Le Prologue,,,,,,,,,,,,,,,,,,,
